id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
Hebp1	33	4	30	10	29	47	36	26	16	93	7	88	2
Hebp2	3	0	2	0	1	33	3	19	1	26	0	12	2
Heca	4	1	3	0	5	1	2	5	2	8	4	6	0
Hectd1	43	14	41	15	36	158	46	25	25	164	8	214	4
Hectd2	0	0	0	0	0	2	0	0	1	9	0	7	1
Hectd3	10	3	10	2	10	15	10	10	8	15	1	24	1
Hecw1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hecw2	2	0	2	0	1	14	0	3	0	3	0	12	0
Heg1	5	3	0	2	4	1	11	6	3	2	1	2	1
Helb	6	3	4	4	5	20	7	4	3	3	0	14	0
Hells	9	3	4	1	8	242	31	51	10	134	1	114	3
Helq	1	3	1	2	1	12	2	3	2	4	1	6	0
Helt	0	0	0	0	0	0	0	0	0	0	1	0	0
Helz	14	6	8	4	2	23	9	8	5	21	4	19	3
Helz2	3	2	3	1	2	0	4	1	1	1	3	1	1
Hemgn	0	0	0	0	0	0	0	0	0	0	0	0	0
Hemk1	2	5	4	3	3	18	7	12	6	21	2	31	0
Hemt1	0	0	0	0	0	0	0	0	0	0	0	0	0
Henmt1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hepacam	0	0	0	0	0	0	0	0	0	0	0	0	0
Hepacam2	0	0	1	0	0	0	0	0	0	0	0	0	0
Heph	2	1	2	1	4	12	3	1	4	11	0	17	0
Hephl1	0	0	0	0	0	0	0	0	0	0	0	2	0
Herc1	18	6	24	10	8	35	19	7	8	32	4	63	1
Herc2	28	12	22	13	17	45	19	31	17	56	4	69	1
Herc3	5	0	4	2	2	11	3	1	4	13	0	10	0
Herc4	15	5	8	5	3	34	7	16	4	21	6	38	1
Herc6	5	3	1	0	2	9	6	0	4	3	0	1	0
Herpud1	128	91	178	76	115	123	237	128	167	240	74	340	36
